cellId,cycle,time,current,voltage,capacityAh,chargeCapacityAh,referenceSoc,soh,nominalCapacityAh,sourceDataset,sourceFile,dataProvenance,referenceNominalCapacityAh,capacityScaleFactor
CALB_0_B182,1,0.0,0.0,4.2937,0.0,0.0,,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,6270.0,0.0,4.2934,0.0,0.0,,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,12540.0,0.0,4.2931,0.0,0.0,,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,18780.0,0.0,4.2934,0.0,0.0,,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,25020.0,0.0,4.2931,0.0,0.0,,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,28740.0,0.0,4.2934,0.0,0.0,,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,28770.0,-58.02331,3.984,0.48191,0.0,99.03032627364877,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,28800.0,-58.02331,3.9539,0.96544,0.0,98.05739286927323,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29190.0,-58.02951,3.8544,7.25136,0.0,85.40919824798343,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29220.0,-58.02951,3.847,7.7349,0.0,84.43624472213861,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29250.0,-58.02331,3.8392,8.21845,0.0,83.46327107482449,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29280.0,-58.02951,3.8315,8.70201,0.0,82.49027730604111,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29310.0,-58.02951,3.8234,9.18557,0.0,81.51728353725771,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29340.0,-58.02951,3.8151,9.66913,0.0,80.54428976847433,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29370.0,-58.02951,3.8067,10.1527,0.0,79.57127587822164,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29400.0,-58.02951,3.798,10.63627,0.0,78.59826198796898,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29430.0,-58.02951,3.7893,11.11985,0.0,77.62522797624702,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29460.0,-58.02951,3.78,11.60343,0.0,76.65219396452505,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29490.0,-58.02951,3.771,12.08701,0.0,75.67915995280308,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29520.0,-58.02951,3.7617,12.57059,0.0,74.70612594108113,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29550.0,-58.02951,3.7527,13.05417,0.0,73.73309192935915,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29580.0,-58.02951,3.7434,13.53775,0.0,72.76005791763718,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29610.0,-58.02951,3.7341,14.02132,0.0,71.78704402738451,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
CALB_0_B182,1,29640.0,-58.02951,3.7248,14.50489,0.0,70.81403013713184,1.0,58,BatteryLife-v11/CALB,CALB_0_B182.pkl,measured-source-data,58.0,1.0
